aaien,to pet,,
aanbevelen,"recommend,commed,approve",,
aanbidden,oferecer/to offer | adorar/worship,,
aanbreeken,alvorecer/dawn,,
aandacht,atenção,,
aandeel,"papel,parte,porção",,
aandeelhouders,acionistas,,
aandoening,doença/condition,,
aanduiden,indicar,,
aangemoedigd,encouraged,,
aangepakt,addresed,,
aangericht,caused,,
aangetroffen (aantreffen),encontrado,,
aangeven,"declarar,indicar,notificar/to state",,
aangifte,declaração,,
aanhoudend,persistente,*,
aanhouden,to keep on; to persist; to arrest,*,
aanklagen,to arrest,,
aankondigen,"anunciar,notificar,denunciar",*,
aanmoedig,encorajar,,
aannemen,"contract,adopt",,
aannemer,"contractor,builder",,
aanpak (de),abortagem/approach,,
aanpakken,enfrentar/tackle,,
aanpassen ,ajustar,,
aanraden,"recomendar,sugest (aanbevelen)",*,
aanrakken,tocar/touch,,
aanranden,to assault,,
aanschuiven,to join/juntar-se,,
aanslag,"assessment,scale,attack",,
aanslepen,to drag along,,
aansluiten,"connect, joint",*,
aanspreken,"address,speak,approach",*,
aansteking,infection ,,
aantreffen,to meet,,
aantrekken,"attract,put on, draw, tighten",* ,
aantrekkelijk,atraente,,
aanvaardbaar,aceitável,* ,
aanvaarden,aceitar,**,
aanvankelijk ,inicialmente ,*,
aanvangen ,começar /iniciar ,,
aanvoerder,capitão,,
aanwerven,recrutar,,
aanwezig,"presença, existência",*,
aanwezigen,"presentes,participantes/attendees",,
aanwijzen,"indicar,designar",,
aarzeling,hesitation,,
achterban,"supporters,followers",,
afblijven,hands off/tirar as mãos,,
afbouw,desmontagem,,
afbraak,demolição,,
afdaling,descida,,
afdeling,"departamento,sessão,divisão,unidade,branch",,
afdoen,take off,,
afdwingen,enforce,,
affiche,poster,,
afgaan,"disparar/go off, to fire",,
afgelopen,último/passado,,mês passado/último mês
afgeschaft,abolido,*,
afkeer,"averção/disgust,dislike",,
afkondingen,"proclamar,promulgar,publicar",,
afhankelijk,dependência,,
afhangen,dependente,,
afleiden,"distrair,distração",***,
afloop,"desfecho, resultado",,
af maken,"finalizar,completar",,
afnemer,customer,,
afnemen,diminuir,,
afpersing,extorsão,,
afrond,finish,,
afschaffen ,"abolir, (vernietigen)",***,
afscheid,despedida,,
afscheiding,"separação,secessão,segregação",,
afschuwelijk,horrível,,
afschrikken,dissuadir (schrik = medo),,
afspreken,"agree,arrange,settle",,
afstaan,to give up/ceder,,
afstammeling,descendentes ,,
afstoten,push off,,
aftreden,"abdicar/resign,retire, withdraw ",,
afvaart,departure,,
afwachten,wait and see,,
afwerend,defensivo (afwerende manier),,
afzetten ,"take off,remove,cut",,
afzonderlijk,"individual,separada,single,particular",,
afwezig,"ausência, ausente",**,
allochtoon,"immigrant, alien, foreigner",,
ambtenaren,funcionários públicos,,
amper,"barely,hardly/quase",,
aantasting,ataque,,
baarmoeder,utero,,
barmhartigheid,mercy (genade),,"quando merecia algo ruim, e não pago por isso"
bedienen,"serviço, operar, cuidar",,
bedoeling,"intenção, alvo, propósito",,
bedreigen,ameaçar,*,
bedriegen,"to cheat, to deceive, to trick",*,
bedwingen,"control, restraint",,
begeleider,acompanhante,,
begeleiding,acompanhamento,,
begrenzing,limitar,,
behaaglijk,"comfortable,cozy,snug,pleasing",,
behandeling (de),tratamento,,
behalve,exceto,,
beheersing,controle,,
behoefte,necessidade (basisbehoeften - necessidades básicas),**,
behoorlijk,"decent, reasonable",*,
behouden,"reter,manter,preservar",**,
behouden,"retain,keep,preserve,save",,
bekeren,converter (de pensamento),,
bekering,"conversão, adepto",,
bekrachtigen,ratificar,,
bekwaam,capacitado/skilled,*,
belachelijk,"ridículo,rizível",,
belaging,assédio/harassment,,
belanden,end up,,
beledigen,insultar,,
beleger,investidor,,
belegen,maturar,,
beleven,vivenciar,,
belonen,recompensar,,beloond = recompensado
beloven,prometer,,
benaderen ,approach ,*,
bemachtigen,obter/ to secure,,
bemoeien (zich met),interferir,* ,
benadrukken,enfatizar,*,
bemiddelen,intermediar,,
benutten,"utilizar/take advantage of,use",*,
beogen,"to intend, to aim, to contemplate",,
bepalen,"definir,determinar",,
berekenen,"calculate,compute,charge",,
beroemd,famoso (bekend),*,
berucht,notório,,
beslag,apreensão,*,
beseffen,perceber/realise,,
beschadigd,danificado,,
bescheid,modesto,,
beschermt,protegido,,
beschouwen,considerar,**,
beschutting,abrigo/shelter,,
beschuldigen,"acusar,incrimiar/to  blame, to accuse",,
besluit,"decisão,resoluçao",,
besmetting,"contágio, contaminação, infecção",*,
bestemming,"destination (from a trip),destivy,fate",**,
bestrafing,punição,,
bestrijden,"combater, opor-se",*,
beteken,significar,,
betogen,discutir/argumentar,*,
betogers,manifestantes,,
betoverend,encantador,,
betrappen,"catch,surprise,detect/pegar (agora vc me pegou)",*,
betreden,"enter, set a foot, walk in",,
betreffen,"preocupar-se, to concern, to affect",****,
betrekken,"involver,implicar",,
betrekking,relation/relacionamento (de casal tbm),,
betreden,to enter,,
betreuren,to regret,,
betrokken,"involvido,preocupado",***,
bevatten,"conter (alguma coisa dentro),incluir",*,
betrokkenheid,involvimento,,
bevallen,to please/agradar,,
bevel,"comando,ordem",*,
beveling,commanding,,
beven,"tremble,shake,quake",,
bevoegd,"qualificado, competente (=bekwaam), autorizado",*,
bevoegdheid,"autoridade, competência",*,
bevorderlijk,"propício/conducive,favorable,contributory,helpful,useful",,
bevrijding,liberation,,
bewaren,"to preserve,save,keep",***,
bezwaren (bezwaar),objeção,***,
bewaken,"to guard,watch over, sentinel",,
bewegen,"mover, induzir, dirigir ",,
beweging,movimento (tipo MST),,
bewijzen,provar,*,bewezen = comprovado
beweren,"claim,argue",,
bewonderaar (de),admirador,,
bewust,consciência,,
bewustzijn,consciência/awareness,,
bezetter,ocupar,,
bezetting,ocupação,,
beziet,visualização,,
bezit,"possess,possession,holding",*,
bezorg,entregar/deliver,,
bidden,orar/pray,,
bijdrag,contribuição,*,
bijeenkomst,meeting/ontmoeting,,
bijdrage,contribuição,*,
bijkomend,"additional,extra",,
bijwonen,"​attend,be present at,assist at,take in (volgen)",,
billijk,"​fair,equitable,reasonable,right",,
blamage,desgraça,,
blessure,injury,,
blijk,evidente,,
blijkbaar,"evidentemente, aparentemente",**,
blijken,"to turn out, prove, appear",,
blozen,"corar, enrubrecer",,
bloot,"nu,pelado",*,
blunder,"erro, mancada, tolice, engano, pisar na bola",,
borrel (de),shot ,,
boosaardig,"malicioso,malvado",,
braaf,"good,brave,worthy",**,
buien (bui),"showers,storms/chuvas",,
burcht,castelo,,
compris,compreende,,
daarbij,"in addition,basides,thereby",,
daardoor,por causa disso,,
dader,perpetrator,,
dading,settlement,,
dak,teto,,
dalen,decline/drop,*,
dapperheid,bravura,,
darm,intestino,,
deelnemer,participante,,
deel nemen,participar,,
deels,parcialmente/partly,,
deugd,virtude,,
dichtbij,perto/próximo,,
dichtdoen,"fechar/ to close,shut",,
diegenen,those (people) who/ mensen die,,
dienaar,servo,,
doel (doelwit),"meta / goal,purpose,target",,
doelen,metas,,
doelwit,target,,
doorbraak,breakthrough/avanço,*,
doorbrengen,to spend (tijd doorbrengen met),*,
doorgaan,"continue, go on, get on, go through, pursue",,
doorstaan,"undergo/submeter,passar por, aguentar",,
doorzetten,perseverar,,
dorp,vila,,
douwen,empurrar/push,**,
draaien,"girar/turn,rotate,twist",,
drang,"urge, impulse",,
drassig,encharcado/soggy,,
dreiging,threat/ameaçado,,
drempel,threshold,,
dringend,urgently,*,
droeven,triste,,
durven,to dare/desafiar,,
dwaasheid,"foolishness, silliness",,
dwang,"coerção,compulsão,pressão,restraint",*,
eenvoudig,"simples,direto/plain",**,
eenzaam,solitário,*,
eenheid,unidade,,
eer,"honra,credito",,
eerbetoon,"tributo, homenagem",,
eerlijk,"fair,honest",,
eisen,"demandar,requerir",*,eisten -> exigido
eigenschappen,"qualidade, propriedade, atributo",,
eigenwijs,"stubborn,cocky",,
ellende,"trouble,misery",*,
emmer,balde,,
enkele,a few/um pouco,,
eng,scary,,
ergernis,annoyance/encheção de saco,,
ermee,com isso/with it,,
evandoor,away,*,(ik moet evandoor)
eveneens,também,,
evenement,evento,,
evenwicht,"balanço, saldo, equilíbrio",*,
foef,vagina,,
gans,"all,whole,entire",*,
gauw,"breve/soon,quikly",,
geaardheid,orientação,,
gebied,"área,assunto",,op humanitair gebied
gebeurd,ocorrido,,
gebuurt,perto/próximo,,
gedachtegoed,ideologia,,
geduld,paciência,,
gedwongen,forçado (gedwongen adoptie),,
geheim,secret,**,
gek,"louco, maluco",,
gelijk,"igual,similar",,
genade,"mercy,grace,favor/misericórdia",,"quando não merecia nada, mas ganho algo"
geneeskunde,medicina,,
genot,"pleasure,delight,indulgence",,
gepaard,"paired,coupled/junto com",,
gepast,apropriado,,
geraken,Get,,
gericht,focused,*,
geschenk,presente,,
geschikt,"suitable,suited,apropriate,fit,",,
geslag,beaten/surra,,
gesjoemel,adulteração/tampering,,
getroffen,afetado (getroffen gebiet),,
getuige,testemunha,,Jeovah Getuige
getuigschrift,"certificado,testemunho",*,
gevangen,capturar,*,
gevoelig,sensível,,dit ligt gevoelig
gevolgen,"resultados,implicações,consequencias",,
geweer,rifle,,
